name,muni,ward_id,normalized_name,warning,election_day_registered,ballots_cast,nov_1_registered
Village of River Hills - Ward 2,68325,2,village of river hills ward 2,"WARNING: Combined in results: Village of River Hills Wards 1,2,3, combined results: 1266",85,579,635
Village of River Hills - Ward 3,68325,3,village of river hills ward 3,"WARNING: Combined in results: Village of River Hills Wards 1,2,3, combined results: 1266",76,519,569
Village of Shorewood - Ward 1,73725,1,village of shorewood ward 1,"WARNING: Combined in results: Village of Shorewood Wards 1,2,3,4, combined results: 3519",661,597,672
Village of Shorewood - Ward 10,73725,10,village of shorewood ward 10,"WARNING: Combined in results: Village of Shorewood Wards 9,10,11,12, combined results: 2853",736,671,745
Village of Shorewood - Ward 11,73725,11,village of shorewood ward 11,"WARNING: Combined in results: Village of Shorewood Wards 9,10,11,12, combined results: 2853",650,592,658
Village of Shorewood - Ward 12,73725,12,village of shorewood ward 12,"WARNING: Combined in results: Village of Shorewood Wards 9,10,11,12, combined results: 2853",883,805,894
Village of Shorewood - Ward 2,73725,2,village of shorewood ward 2,"WARNING: Combined in results: Village of Shorewood Wards 1,2,3,4, combined results: 3519",1044,942,1061
Village of Shorewood - Ward 3,73725,3,village of shorewood ward 3,"WARNING: Combined in results: Village of Shorewood Wards 1,2,3,4, combined results: 3519",1180,1064,1199
Village of Shorewood - Ward 4,73725,4,village of shorewood ward 4,"WARNING: Combined in results: Village of Shorewood Wards 1,2,3,4, combined results: 3519",1016,916,1032
Village of Shorewood - Ward 5,73725,5,village of shorewood ward 5,"WARNING: Combined in results: Village of Shorewood Wards 5,6,7,8, combined results: 2944",920,829,929
Village of Shorewood - Ward 6,73725,6,village of shorewood ward 6,"WARNING: Combined in results: Village of Shorewood Wards 5,6,7,8, combined results: 2944",631,568,637
Village of Shorewood - Ward 7,73725,7,village of shorewood ward 7,"WARNING: Combined in results: Village of Shorewood Wards 5,6,7,8, combined results: 2944",958,864,968
Village of Shorewood - Ward 8,73725,8,village of shorewood ward 8,"WARNING: Combined in results: Village of Shorewood Wards 5,6,7,8, combined results: 2944",757,683,765
Village of Shorewood - Ward 9,73725,9,village of shorewood ward 9,"WARNING: Combined in results: Village of Shorewood Wards 9,10,11,12, combined results: 2853",862,785,872
Village of West Milwaukee - Ward 1,85875,1,village of west milwaukee ward 1,"WARNING: Combined in results: Village of West Milwaukee Wards 1,2,5, combined results: 784",461,370,468
Village of West Milwaukee - Ward 2,85875,2,village of west milwaukee ward 2,"WARNING: Combined in results: Village of West Milwaukee Wards 1,2,5, combined results: 784",223,179,226
Village of West Milwaukee - Ward 3,85875,3,village of west milwaukee ward 3,"WARNING: Combined in results: Village of West Milwaukee Wards 3,4,6, combined results: 921",389,342,395
Village of West Milwaukee - Ward 4,85875,4,village of west milwaukee ward 4,"WARNING: Combined in results: Village of West Milwaukee Wards 3,4,6, combined results: 921",372,327,378
Village of West Milwaukee - Ward 5,85875,5,village of west milwaukee ward 5,"WARNING: Combined in results: Village of West Milwaukee Wards 1,2,5, combined results: 784",293,235,297
Village of West Milwaukee - Ward 6,85875,6,village of west milwaukee ward 6,"WARNING: Combined in results: Village of West Milwaukee Wards 3,4,6, combined results: 921",287,252,291
Village of Whitefish Bay - Ward 1,86700,1,village of whitefish bay ward 1,"WARNING: Combined in results: Village of Whitefish Bay Wards 1,2, combined results: 1630",989,920,993
Village of Whitefish Bay - Ward 10,86700,10,village of whitefish bay ward 10,"WARNING: Combined in results: Village of Whitefish Bay Wards 8,10, combined results: 1847",1213,1103,1220
Village of Whitefish Bay - Ward 11,86700,11,village of whitefish bay ward 11,"WARNING: Combined in results: Village of Whitefish Bay Wards 9,11, combined results: 1619",850,762,857
Village of Whitefish Bay - Ward 12,86700,12,village of whitefish bay ward 12,,1068,998,1074
Village of Whitefish Bay - Ward 2,86700,2,village of whitefish bay ward 2,"WARNING: Combined in results: Village of Whitefish Bay Wards 1,2, combined results: 1630",764,710,767
Village of Whitefish Bay - Ward 3,86700,3,village of whitefish bay ward 3,"WARNING: Combined in results: Village of Whitefish Bay Wards 3,4, combined results: 1518",572,529,578
Village of Whitefish Bay - Ward 4,86700,4,village of whitefish bay ward 4,"WARNING: Combined in results: Village of Whitefish Bay Wards 3,4, combined results: 1518",1070,989,1080
Village of Whitefish Bay - Ward 5,86700,5,village of whitefish bay ward 5,"WARNING: Combined in results: Village of Whitefish Bay Wards 5,6, combined results: 1678",887,805,890
Village of Whitefish Bay - Ward 6,86700,6,village of whitefish bay ward 6,"WARNING: Combined in results: Village of Whitefish Bay Wards 5,6, combined results: 1678",962,873,966
Village of Whitefish Bay - Ward 7,86700,7,village of whitefish bay ward 7,,919,837,928
Village of Whitefish Bay - Ward 8,86700,8,village of whitefish bay ward 8,"WARNING: Combined in results: Village of Whitefish Bay Wards 8,10, combined results: 1847",818,744,822
Village of Whitefish Bay - Ward 9,86700,9,village of whitefish bay ward 9,"WARNING: Combined in results: Village of Whitefish Bay Wards 9,11, combined results: 1619",957,857,964
City of Cudahy - Ward 1,17975,1,city of cudahy ward 1,"WARNING: Combined in results: City of Cudahy Wards 1,2,3, combined results: 1991",1131,979,1152
City of Cudahy - Ward 10,17975,10,city of cudahy ward 10,"WARNING: Combined in results: City of Cudahy Wards 10,11,12, combined results: 1926",872,751,879
City of Cudahy - Ward 11,17975,11,city of cudahy ward 11,"WARNING: Combined in results: City of Cudahy Wards 10,11,12, combined results: 1926",581,501,586
City of Cudahy - Ward 12,17975,12,city of cudahy ward 12,"WARNING: Combined in results: City of Cudahy Wards 10,11,12, combined results: 1926",784,675,790
City of Cudahy - Ward 13,17975,13,city of cudahy ward 13,"WARNING: Combined in results: City of Cudahy Wards 13,14,15, combined results: 2193",432,378,439
City of Cudahy - Ward 14,17975,14,city of cudahy ward 14,"WARNING: Combined in results: City of Cudahy Wards 13,14,15, combined results: 2193",1084,947,1101
City of Cudahy - Ward 15,17975,15,city of cudahy ward 15,"WARNING: Combined in results: City of Cudahy Wards 13,14,15, combined results: 2193",993,868,1009
City of Cudahy - Ward 2,17975,2,city of cudahy ward 2,"WARNING: Combined in results: City of Cudahy Wards 1,2,3, combined results: 1991",518,448,527
City of Cudahy - Ward 3,17975,3,city of cudahy ward 3,"WARNING: Combined in results: City of Cudahy Wards 1,2,3, combined results: 1991",651,564,663
City of Cudahy - Ward 4,17975,4,city of cudahy ward 4,"WARNING: Combined in results: City of Cudahy Wards 4,5,6, combined results: 1821",620,540,635
City of Cudahy - Ward 5,17975,5,city of cudahy ward 5,"WARNING: Combined in results: City of Cudahy Wards 4,5,6, combined results: 1821",778,677,796
City of Cudahy - Ward 6,17975,6,city of cudahy ward 6,"WARNING: Combined in results: City of Cudahy Wards 4,5,6, combined results: 1821",694,604,710
City of Cudahy - Ward 7,17975,7,city of cudahy ward 7,"WARNING: Combined in results: City of Cudahy Wards 7,8,9, combined results: 1600",710,593,726
City of Cudahy - Ward 8,17975,8,city of cudahy ward 8,"WARNING: Combined in results: City of Cudahy Wards 7,8,9, combined results: 1600",535,447,547
City of Cudahy - Ward 9,17975,9,city of cudahy ward 9,"WARNING: Combined in results: City of Cudahy Wards 7,8,9, combined results: 1600",670,560,685
City of Franklin - Ward 1,27300,1,city of franklin ward 1,,2,1,2
City of Franklin - Ward 10,27300,10,city of franklin ward 10,,472,447,471
City of Franklin - Ward 11,27300,11,city of franklin ward 11,,1305,1212,1307
City of Franklin - Ward 12,27300,12,city of franklin ward 12,,943,851,950
City of Franklin - Ward 13,27300,13,city of franklin ward 13,,1275,1205,1295
City of Franklin - Ward 14,27300,14,city of franklin ward 14,,1117,1035,1123
City of Franklin - Ward 15A,27300,15A,city of franklin ward 15a,,621,543,631
City of Franklin - Ward 15B,27300,15B,city of franklin ward 15b,,430,391,443
City of Franklin - Ward 16,27300,16,city of franklin ward 16,,1337,1244,1353
City of Franklin - Ward 17,27300,17,city of franklin ward 17,,809,759,820
City of Franklin - Ward 18,27300,18,city of franklin ward 18,,498,472,509
City of Franklin - Ward 19,27300,19,city of franklin ward 19,,1371,1281,1400
City of Franklin - Ward 2,27300,2,city of franklin ward 2,,1616,1537,1630
City of Franklin - Ward 20,27300,20,city of franklin ward 20,,714,677,728
City of Franklin - Ward 21,27300,21,city of franklin ward 21,,352,312,361
City of Franklin - Ward 22A,27300,22A,city of franklin ward 22a,,759,718,771
City of Franklin - Ward 22B,27300,22B,city of franklin ward 22b,,702,680,713
City of Franklin - Ward 23,27300,23,city of franklin ward 23,,1339,1279,1352
City of Franklin - Ward 3,27300,3,city of franklin ward 3,,1715,1603,1726
City of Franklin - Ward 4,27300,4,city of franklin ward 4,,892,799,904
City of Franklin - Ward 5,27300,5,city of franklin ward 5,,692,661,697
City of Franklin - Ward 6,27300,6,city of franklin ward 6,,1186,1098,1187
City of Franklin - Ward 7,27300,7,city of franklin ward 7,,1499,1439,1523
City of Franklin - Ward 8,27300,8,city of franklin ward 8,,1051,1007,1088
City of Franklin - Ward 9,27300,9,city of franklin ward 9,,1084,1005,1106
City of Glendale - Ward 1,29400,1,city of glendale ward 1,"WARNING: Combined in results: City of Glendale Wards 1,7, combined results: 1368",733,681,742
City of Glendale - Ward 10,29400,10,city of glendale ward 10,"WARNING: Combined in results: City of Glendale Wards 4,10, combined results: 1661",865,804,878
City of Glendale - Ward 11,29400,11,city of glendale ward 11,"WARNING: Combined in results: City of Glendale Wards 5,11, combined results: 1316",501,459,508
City of Glendale - Ward 11S,29400,11S,city of glendale ward 11s,,334,279,350
City of Glendale - Ward 12,29400,12,city of glendale ward 12,"WARNING: Combined in results: City of Glendale Wards 6,12, combined results: 1156",606,545,617
City of Glendale - Ward 2,29400,2,city of glendale ward 2,"WARNING: Combined in results: City of Glendale Wards 2,8S, combined results: 937",931,841,942
City of Glendale - Ward 3,29400,3,city of glendale ward 3,"WARNING: Combined in results: City of Glendale Wards 3,9, combined results: 1550",817,750,830
City of Glendale - Ward 4,29400,4,city of glendale ward 4,"WARNING: Combined in results: City of Glendale Wards 4,10, combined results: 1661",924,857,937
City of Glendale - Ward 5,29400,5,city of glendale ward 5,"WARNING: Combined in results: City of Glendale Wards 5,11, combined results: 1316",936,857,948
City of Glendale - Ward 6,29400,6,city of glendale ward 6,"WARNING: Combined in results: City of Glendale Wards 6,12, combined results: 1156",679,611,691
City of Glendale - Ward 7,29400,7,city of glendale ward 7,"WARNING: Combined in results: City of Glendale Wards 1,7, combined results: 1368",740,687,749
City of Glendale - Ward 8,29400,8,city of glendale ward 8,,571,532,578
City of Glendale - Ward 8S,29400,8S,city of glendale ward 8s,"WARNING: Combined in results: City of Glendale Wards 2,8S, combined results: 937",107,96,108
City of Glendale - Ward 9,29400,9,city of glendale ward 9,"WARNING: Combined in results: City of Glendale Wards 3,9, combined results: 1550",871,800,885
City of Greenfield - Ward 1,31175,1,city of greenfield ward 1,,1190,1037,1216
City of Greenfield - Ward 10,31175,10,city of greenfield ward 10,,1238,1105,1251
City of Greenfield - Ward 11,31175,11,city of greenfield ward 11,,1392,1328,1412
City of Greenfield - Ward 12,31175,12,city of greenfield ward 12,,1469,1395,1507
City of Greenfield - Ward 13,31175,13,city of greenfield ward 13,,723,677,755
City of Greenfield - Ward 14,31175,14,city of greenfield ward 14,,1025,910,1063
City of Greenfield - Ward 15,31175,15,city of greenfield ward 15,,1020,915,1045
City of Greenfield - Ward 16,31175,16,city of greenfield ward 16,,454,385,459
City of Greenfield - Ward 17,31175,17,city of greenfield ward 17,,909,816,939
City of Greenfield - Ward 18,31175,18,city of greenfield ward 18,,975,890,988
City of Greenfield - Ward 19,31175,19,city of greenfield ward 19,,1439,1300,1466
City of Greenfield - Ward 2,31175,2,city of greenfield ward 2,,1023,903,1036
City of Greenfield - Ward 20,31175,20,city of greenfield ward 20,,1522,1367,1543
City of Greenfield - Ward 21,31175,21,city of greenfield ward 21,,974,840,989
City of Greenfield - Ward 3,31175,3,city of greenfield ward 3,,999,853,1017
City of Greenfield - Ward 4,31175,4,city of greenfield ward 4,,1014,833,1028
City of Greenfield - Ward 5,31175,5,city of greenfield ward 5,,1136,976,1158
City of Greenfield - Ward 6,31175,6,city of greenfield ward 6,,1105,997,1121
City of Greenfield - Ward 7,31175,7,city of greenfield ward 7,,1442,1300,1462
City of Greenfield - Ward 8,31175,8,city of greenfield ward 8,,1277,1129,1313
City of Greenfield - Ward 9,31175,9,city of greenfield ward 9,,1178,1068,1191
City of Milwaukee - Ward 1,53000,1,city of milwaukee ward 1,,1502,1185,1535
City of Milwaukee - Ward 10,53000,10,city of milwaukee ward 10,,1447,1176,1452
City of Milwaukee - Ward 100,53000,100,city of milwaukee ward 100,,801,620,805
City of Milwaukee - Ward 101,53000,101,city of milwaukee ward 101,,1199,927,1210
City of Milwaukee - Ward 102,53000,102,city of milwaukee ward 102,,1394,1135,1424
City of Milwaukee - Ward 103,53000,103,city of milwaukee ward 103,,1726,1256,1743
City of Milwaukee - Ward 104,53000,104,city of milwaukee ward 104,,1468,1019,1486
City of Milwaukee - Ward 105,53000,105,city of milwaukee ward 105,,627,434,635
City of Milwaukee - Ward 106,53000,106,city of milwaukee ward 106,,562,328,560
City of Milwaukee - Ward 107,53000,107,city of milwaukee ward 107,,829,608,846
City of Milwaukee - Ward 108,53000,108,city of milwaukee ward 108,,862,616,870
City of Milwaukee - Ward 109,53000,109,city of milwaukee ward 109,,959,638,964
City of Milwaukee - Ward 11,53000,11,city of milwaukee ward 11,,1298,1030,1310
City of Milwaukee - Ward 110,53000,110,city of milwaukee ward 110,,540,341,544
City of Milwaukee - Ward 111,53000,111,city of milwaukee ward 111,,760,483,763
City of Milwaukee - Ward 112,53000,112,city of milwaukee ward 112,,858,602,860
City of Milwaukee - Ward 113,53000,113,city of milwaukee ward 113,,732,511,735
City of Milwaukee - Ward 114,53000,114,city of milwaukee ward 114,,671,495,669
City of Milwaukee - Ward 115,53000,115,city of milwaukee ward 115,,1114,817,1121
City of Milwaukee - Ward 116,53000,116,city of milwaukee ward 116,,611,410,613
City of Milwaukee - Ward 117,53000,117,city of milwaukee ward 117,,712,483,712
City of Milwaukee - Ward 118,53000,118,city of milwaukee ward 118,,807,572,812
City of Milwaukee - Ward 119,53000,119,city of milwaukee ward 119,,831,574,837
City of Milwaukee - Ward 12,53000,12,city of milwaukee ward 12,,1126,811,1123
City of Milwaukee - Ward 120,53000,120,city of milwaukee ward 120,,738,473,740
City of Milwaukee - Ward 121,53000,121,city of milwaukee ward 121,,918,655,934
City of Milwaukee - Ward 122,53000,122,city of milwaukee ward 122,,1007,670,1012
City of Milwaukee - Ward 123,53000,123,city of milwaukee ward 123,,1265,905,1273
City of Milwaukee - Ward 124,53000,124,city of milwaukee ward 124,,793,608,806
City of Milwaukee - Ward 125,53000,125,city of milwaukee ward 125,,1376,1150,1376
City of Milwaukee - Ward 126,53000,126,city of milwaukee ward 126,,1065,908,1071
City of Milwaukee - Ward 127,53000,127,city of milwaukee ward 127,,1499,1247,1524
City of Milwaukee - Ward 128,53000,128,city of milwaukee ward 128,,1693,1319,1734
City of Milwaukee - Ward 129,53000,129,city of milwaukee ward 129,,1174,989,1196
City of Milwaukee - Ward 13,53000,13,city of milwaukee ward 13,,699,517,709
City of Milwaukee - Ward 130,53000,130,city of milwaukee ward 130,,794,352,807
City of Milwaukee - Ward 131,53000,131,city of milwaukee ward 131,,1306,1145,1323
City of Milwaukee - Ward 132,53000,132,city of milwaukee ward 132,,1915,1637,1917
City of Milwaukee - Ward 133,53000,133,city of milwaukee ward 133,,1085,830,1115
City of Milwaukee - Ward 134,53000,134,city of milwaukee ward 134,,1150,910,1169
City of Milwaukee - Ward 135,53000,135,city of milwaukee ward 135,,1529,1278,1560
City of Milwaukee - Ward 136,53000,136,city of milwaukee ward 136,,1213,889,1228
City of Milwaukee - Ward 137,53000,137,city of milwaukee ward 137,,841,659,842
City of Milwaukee - Ward 138,53000,138,city of milwaukee ward 138,,2463,1942,2469
City of Milwaukee - Ward 139,53000,139,city of milwaukee ward 139,,1726,1311,1730
City of Milwaukee - Ward 14,53000,14,city of milwaukee ward 14,,1341,1012,1352
City of Milwaukee - Ward 140,53000,140,city of milwaukee ward 140,,572,373,574
City of Milwaukee - Ward 141,53000,141,city of milwaukee ward 141,,771,570,783
City of Milwaukee - Ward 142,53000,142,city of milwaukee ward 142,,833,631,837
City of Milwaukee - Ward 143,53000,143,city of milwaukee ward 143,,655,470,656
City of Milwaukee - Ward 144,53000,144,city of milwaukee ward 144,,531,350,525
City of Milwaukee - Ward 145,53000,145,city of milwaukee ward 145,,322,213,319
City of Milwaukee - Ward 146,53000,146,city of milwaukee ward 146,,276,188,276
City of Milwaukee - Ward 147,53000,147,city of milwaukee ward 147,,1119,730,1122
City of Milwaukee - Ward 148,53000,148,city of milwaukee ward 148,,798,554,810
City of Milwaukee - Ward 149,53000,149,city of milwaukee ward 149,,1008,675,1013
City of Milwaukee - Ward 15,53000,15,city of milwaukee ward 15,,878,768,881
City of Milwaukee - Ward 150,53000,150,city of milwaukee ward 150,,848,594,849
City of Milwaukee - Ward 151,53000,151,city of milwaukee ward 151,,581,414,584
City of Milwaukee - Ward 152,53000,152,city of milwaukee ward 152,,553,357,556
City of Milwaukee - Ward 153,53000,153,city of milwaukee ward 153,,871,671,889
City of Milwaukee - Ward 154,53000,154,city of milwaukee ward 154,,756,523,768
City of Milwaukee - Ward 155,53000,155,city of milwaukee ward 155,,717,472,720
City of Milwaukee - Ward 156,53000,156,city of milwaukee ward 156,,1027,697,1035
City of Milwaukee - Ward 157,53000,157,city of milwaukee ward 157,,696,503,705
City of Milwaukee - Ward 158,53000,158,city of milwaukee ward 158,,625,459,628
City of Milwaukee - Ward 159,53000,159,city of milwaukee ward 159,,617,452,629
City of Milwaukee - Ward 16,53000,16,city of milwaukee ward 16,,1768,1384,1778
City of Milwaukee - Ward 160,53000,160,city of milwaukee ward 160,,772,554,778
City of Milwaukee - Ward 161,53000,161,city of milwaukee ward 161,,248,190,253
City of Milwaukee - Ward 162,53000,162,city of milwaukee ward 162,,509,349,507
City of Milwaukee - Ward 163,53000,163,city of milwaukee ward 163,,873,617,878
City of Milwaukee - Ward 164,53000,164,city of milwaukee ward 164,,1036,794,1048
City of Milwaukee - Ward 165,53000,165,city of milwaukee ward 165,,1015,773,1020
City of Milwaukee - Ward 166,53000,166,city of milwaukee ward 166,,401,318,403
City of Milwaukee - Ward 167,53000,167,city of milwaukee ward 167,,980,815,982
City of Milwaukee - Ward 168,53000,168,city of milwaukee ward 168,,1754,1503,1754
City of Milwaukee - Ward 169,53000,169,city of milwaukee ward 169,,698,447,706
City of Milwaukee - Ward 17,53000,17,city of milwaukee ward 17,,735,615,743
City of Milwaukee - Ward 170,53000,170,city of milwaukee ward 170,,531,375,538
City of Milwaukee - Ward 171,53000,171,city of milwaukee ward 171,,237,147,241
City of Milwaukee - Ward 172,53000,172,city of milwaukee ward 172,,628,436,627
City of Milwaukee - Ward 173,53000,173,city of milwaukee ward 173,,782,598,790
City of Milwaukee - Ward 174,53000,174,city of milwaukee ward 174,,1122,833,1134
City of Milwaukee - Ward 175,53000,175,city of milwaukee ward 175,,729,574,737
City of Milwaukee - Ward 176,53000,176,city of milwaukee ward 176,,972,713,977
